MSSV,1932300462,#N/A,,,TCTL,#N/A,"Môn ĐK Trong
 HK hiện tại",,,#REF!,#REF!,Kỳ sau,,,,
,MUSI 204,Music 2,chưa ,chưa ,,4,,,,1932300462MUSI 204,,0,,,,
,MUSI 205,Music 3,chưa ,chưa ,,4,,,,1932300462MUSI 205,,0,,,,
,PHYS 108,Physics,chưa ,chưa ,,4,,,,1932300462PHYS 108,,0,,,,
,PHYS 109,Physics Laboratory 1,chưa ,chưa ,,4,,,,1932300462PHYS 109,,0,,,,
,PHYS 110,Physics Laboratory 2,chưa ,chưa ,,4,,,,1932300462PHYS 110,,0,,,,
,,,,,,,,,,1932300462,,0,,,,
ADVANCED CORE: 47,Course,Course name,Grade,Grade,Prerequisites,Credit,,,,1932300462Course,,0,,,,
,BUS 301,Professional Career Development,chưa ,chưa ,BUS 214,3,,,,1932300462BUS 301,,0,,,,
,BUS 303,Business Research Methods,chưa ,chưa ,BUS 214,4,,,,1932300462BUS 303,,0,,,,
,BUS 314,Organizational Behavior,chưa ,chưa ,BUS 214,4,,,,1932300462BUS 314,,0,,,,
,BUS 328,Business Finance,chưa ,chưa ,BUS 214,4,,,,1932300462BUS 328,,0,,,,
,BUS 332,Marketing Management,chưa ,chưa ,BUS 214,4,,,,1932300462BUS 332,,0,,,,
,BUS 345,E-commerce,chưa ,chưa ,BUS 214,4,,,,1932300462BUS 345,,0,,,,
,BUS 357,Entrepreneurship,chưa ,chưa ,BUS 214,4,,,,1932300462BUS 357,,0,,,,
,BUS 359,Operations and Supply Chain Managment,chưa ,chưa ,BUS 214,4,,,,1932300462BUS 359,,0,,,,
,BUS 378,Business Environment,chưa ,chưa ,BUS 214,4,,,,1932300462BUS 378,,0,,,,
,BUS 450,Final Year Project,chưa ,chưa ,"BUS 301, BUS 303, BUS 314, BUS 328, BUS 332, BUS 345, BUS 357, BUS 359, BUS 378",6,,,,1932300462BUS 450,,0,,,,
,BUS 496,Capstone: Business Strategy,chưa ,chưa ,"BUS 301, BUS 303, BUS 314, BUS 328, BUS 332, BUS 345, BUS 357, BUS 359, BUS 378",6,,,,1932300462BUS 496,,0,,,,
,,,,,,,,,,1932300462,,0,,,,
CONCENTRATION,Course,Course name,Grade,Grade,Prerequisites,Credit,,,,1932300462Course,,0,,,,
,Supply Chain,28 Credits ELECTIVES,,,,,,,,1932300462Supply Chain,,0,,,,
,SCLM 429,Transportation and Logistics Mangement,chưa ,chưa ,BUS 359,4,,,,1932300462SCLM 429,,0,,,,
,SCLM 439,Purchasing and Supply Chain Mangement,chưa ,chưa ,BUS 359,4,,,,1932300462SCLM 439,,0,,,,
,SCLM 449,Process Control and Improvement,chưa ,chưa ,BUS 359,4,,,,1932300462SCLM 449,,0,,,,
,SCLM 459,Production Planning and Control,chưa ,chưa ,BUS 359,4,,,,1932300462SCLM 459,,0,,,,
,SCLM 479,Integrated Supply and Logistics Management,chưa ,chưa ,"SCLM 429, SCLM 439",4,,,,1932300462SCLM 479,,0,,,,
,Accounting,24 Credits ELECTIVES,,,,,,,,1932300462Accounting,,0,,,,
,ACTG 335,Accounting Information Systems,chưa ,chưa ,ACTG 243,4,,,,1932300462ACTG 335,,0,,,,
,ACTG 360,Cost Accounting,chưa ,chưa ,ACTG 243,4,,,,1932300462ACTG 360,,0,,,,
,ACTG 381,Financial Accounting and Reporting 1,chưa ,chưa ,ACTG 243,4,,,,1932300462ACTG 381,,0,,,,
,ACTG 382,Financial Accounting and Reporting 2,chưa ,chưa ,ACTG 381,4,,,,1932300462ACTG 382,,0,,,,
,ACTG 383,Financial Accounting and Reporting 3,chưa ,chưa ,ACTG 382,4,,,,1932300462ACTG 383,,0,,,,
,ACTG 498,Integrated Accounting Issues,chưa ,chưa ,"ACTG 335, ACTG 360, ACTG 383",4,,,,1932300462ACTG 498,,0,,,,
,Entrepreneurship,24 Credits ELECTIVES,,,,,,,,1932300462Entrepreneurship,,0,,,,
,IEPS 360,Intellectual Property and Commercialization,chưa ,chưa ,BUS 357,4,,,,1932300462IEPS 360,,0,,,,
,IEPS 361,Planning and Managing New Venture,chưa ,chưa ,BUS 357,4,,,,1932300462IEPS 361,,0,,,,
,IEPS 371,Entrepreneurial Product Development,chưa ,chưa ,IEPS 360,4,,,,1932300462IEPS 371,,0,,,,
,IEPS 385,Technology Innovation and Design,chưa ,chưa ,IEPS 360,4,,,,1932300462IEPS 385,,0,,,,
,IEPS 450,Venture Capital Financing,chưa ,chưa ,"IEPS 361, 371",4,,,,1932300462IEPS 450,,0,,,,
,IEPS 488,Strategic Innovation and Sustainable Leadership,chưa ,chưa ,"IEPS 361, IEPS 371, IEPS 450",4,,,,1932300462IEPS 488,,0,,,,
,Finance,20 Credits ELECTIVES,,,,,,,,1932300462Finance,,0,,,,
,ACTG 381,Financial Accounting and Reporting 1,chưa ,chưa ,ACTG 243,4,,,,1932300462ACTG 381,,0,,,,
,FIN 319,Intermediate Financial Management,chưa ,chưa ,BUS 328,4,,,,1932300462FIN 319,,0,,,,
,FIN 352,Investment,chưa ,chưa ,BUS 328,4,,,,1932300462FIN 352,,0,,,,
,FIN 443,Derivatives Securities,chưa ,chưa ,FIN 319,4,,,,1932300462FIN 443,,0,,,,
,FIN 449,Valuation,chưa ,chưa ,"FIN 319, ACTG 381",4,,,,1932300462FIN 449,,0,,,,
,FIN 456,International Financial management,chưa ,chưa ,"BUS 328, ACTG 381",4,,,,1932300462FIN 456,,0,,,,
,FIN 465,Cases in Finance,chưa ,chưa ,"FIN 352, FIN 443, FIN 449, FIN 456",4,,,,1932300462FIN 465,,0,,,,
,Human Resources,24 Credits ELECTIVES,,,,,,,,1932300462Human Resources,,0,,,,
,HRM 351,Human Resource Management,chưa ,chưa ,BUS 314,4,,,,1932300462HRM 351,,0,,,,
,HRM 461,Reward Systems and Performance Management,chưa ,chưa ,HRM 351,4,,,,1932300462HRM 461,,0,,,,
,HRM 471,Staffing and Employee Selection,chưa ,chưa ,HRM 351,4,,,,1932300462HRM 471,,0,,,,
,HRM 491,Human Resource Development,chưa ,chưa ,HRM 351,4,,,,1932300462HRM 491,,0,,,,
,HRM 492,International Human Resource Management,chưa ,chưa ,HRM 351,4,,,,1932300462HRM 492,,0,,,,
,HRM 493,Human Resource Strategy,chưa ,chưa ,"HRM 461, HRM 471, HRM 491, HRM 492",4,,,,1932300462HRM 493,,0,,,,
,Marketing,20 Credits ELECTIVES,,,,,,,,1932300462Marketing,,0,,,,
,MKTG 336,Professional Selling,chưa ,chưa ,BUS 332,4,,,,1932300462MKTG 336,,0,,,,
,MKTG 363,Consumer Behavior,chưa ,chưa ,BUS 332,4,,,,1932300462MKTG 363,,0,,,,
,MKTG 460,Marketing Research,chưa ,chưa ,BUS 332,4,,,,1932300462MKTG 460,,0,,,,
,MKTG 461,E-Marketing,chưa ,chưa ,BUS 332,4,,,,1932300462MKTG 461,,0,,,,
,MKTG 462,New Product Development,chưa ,chưa ,BUS 332,4,,,,1932300462MKTG 462,,0,,,,
,MKTG 466,Global Marketing,chưa ,chưa ,BUS 332,4,,,,1932300462MKTG 466,,0,,,,
,MKTG 467,Marketing Strategy and Managment,chưa ,chưa ,"MKTG 336, MKTG 363, MKTG 460, MKTG 461, MKTG 462, MKTG 466",4,,,,1932300462MKTG 467,,0,,,,
,Hospitality,20 Credits ELECTIVES,,,,,,,,1932300462Hospitality,,0,,,,
,HRM 351,Human Resource Management,chưa ,chưa ,BUS 314,4,,,,1932300462HRM 351,,0,,,,
,HMGT 358,Lodging Mangement,chưa ,chưa ,"HMGT 213, HRM 351",4,,,,1932300462HMGT 358,,0,,,,
,HMGT 361,Destination and Event Management,chưa ,chưa ,"HMGT 213, HRM 351",4,,,,1932300462HMGT 361,,0,,,,
,HMGT 401,Food and Beverage Management,chưa ,chưa ,"HMGT 213, HRM 351",4,,,,1932300462HMGT 401,,0,,,,
,HMGT 410,Service Quality Management,chưa ,chưa ,"HMGT 213, HRM 351",4,,,,1932300462HMGT 410,,0,,,,
,HMGT 434,International Hospitality Issues and Management Skills,chưa ,chưa ,"HMGT 213, HRM 351",4,,,,1932300462HMGT 434,,0,,,,
,HMGT 482,Integrated Hospitality Management,chưa ,chưa ,"HMGT 358, HMGT 361, HMGT 401, HMGT 410, HMGT 434",4,,,,1932300462HMGT 482,,0,,,,
,Business Analytics,20 Credits ELECTIVES,,,,,,,,1932300462Business Analytics,,0,,,,
,MIS 301,Programming in Python for Business,chưa ,chưa ,BUS 214,4,,,,1932300462MIS 301,,0,,,,
,MIS 311,Introduction to Business Analytics,chưa ,chưa ,BUS 214,4,,,,1932300462MIS 311,,0,,,,
,MIS 315,Principles of Data Analytics,chưa ,chưa ,"MIS 301, STA 228",4,,,,1932300462MIS 315,,0,,,,
,MIS 443,Business Data Management,chưa ,chưa ,"MIS 301, MIS 311",4,,,,1932300462MIS 443,,0,,,,
,MIS 446,Data Visualization,chưa ,chưa ,"MIS 301, STA 228",4,,,,1932300462MIS 446,,0,,,,
,MIS 451,Machine Learning for Business,chưa ,chưa ,MIS 443,4,,,,1932300462MIS 451,,0,,,,
,MIS 495,Strategic Business Analytics,chưa ,chưa ,"MIS 315, MIS 446, MIS 451",4,,,,1932300462MIS 495,,0,,,,
,,,,,,,,,,1932300462,,0,,,,
0,Course,Course name,Grade,Grade,Prerequisites,Credit,,,,1932300462Course,,0,,,,
ELECTIVES 300-400,BUS 309,Business Ethics,chưa ,chưa ,BUS 214,4,,,,1932300462BUS 309,,0,,,,
,BUS 311,Business Laws,chưa ,chưa ,BUS 214,4,,,,1932300462BUS 311,,0,,,,
,BUS 381,Business Internship 1,chưa ,chưa ,,4,,,,1932300462BUS 381,,0,,,,
,BUS 474,Business Internship 2,chưa ,chưa ,BUS 381,4,,,,1932300462BUS 474,,0,,,,
,ECO 303,Managerial Economics,chưa ,chưa ,ECO 205,4,,,,1932300462ECO 303,,0,,,,
,ECO 393,Money and Banking,chưa ,chưa ,,4,,,,1932300462ECO 393,,0,,,,
,FIN 316,Principle of Real Estate,chưa ,chưa ,BUS 214,4,,,,1932300462FIN 316,,0,,,,
,FIN 473,Financial Analysis,chưa ,chưa ,"ACTG 381, BUS 328",4,,,,1932300462FIN 473,,0,,,,
,HRM 427,Employment Laws,chưa ,chưa ,HRM 351,4,,,,1932300462HRM 427,,0,,,,
,HRM 446,Human Resource Seminar,chưa ,chưa ,HRM 351,4,,,,1932300462HRM 446,,0,,,,
,HRM 447,Human Resource Information Systems,chưa ,chưa ,HRM 351,4,,,,1932300462HRM 447,,0,,,,
,HRM 448,Team Processes,chưa ,chưa ,HRM 351,4,,,,1932300462HRM 448,,0,,,,
,MGMT 440,Leadership,chưa ,chưa ,,4,,,,1932300462MGMT 440,,0,,,,
,MKTG 410,Service Marketing,chưa ,chưa ,BUS 332,4,,,,1932300462MKTG 410,,0,,,,
